topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
6N8L,MER,   0.400, 10000.000,   60.000,   12.000,   24.240,    0.000,    0.000,   24.240,    1.713,   14.649,    0.000,    0.199,    0.000,    0.500,    0.000,   64.052,  100.000,   30.356,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   13.000,    9.870,    0.000,    0.000,    9.870,    1.840,   14.197, 12710.000,    0.247,    0.180,    0.500,    0.000,   44.006,   92.783,    7.771,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   14.000,   18.430,    0.000,    0.000,   18.430,    1.916,   16.292, 46610.000,    0.473,    0.592,    0.500,    0.000,   26.666,   47.072,   10.443,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   15.000,   16.320,    0.000,    0.000,   16.320,    1.760,   14.034, 13010.000,    0.262,    0.176,    0.500,    0.000,   48.476,   92.855,   11.836,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   16.000,   22.400,    0.000,    0.000,   22.400,    2.038,   16.668, 13970.000,    0.277,    0.170,    0.500,    0.000,   57.821,   92.918,   25.283,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   17.000,   21.980,    0.000,    0.000,   21.980,    1.582,   14.500,    0.000,    0.192,    0.000,    0.500,    0.000,   58.746,  100.000,   19.366,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   18.000,   27.320,    0.000,    0.000,   27.320,    2.265,   19.169,    0.000,    0.208,    0.000,    0.500,    0.000,   81.711,  100.000,   62.797,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   19.000,   16.690,    0.000,    0.000,   16.690,    1.848,   15.039, 21050.000,    0.320,    0.293,    0.500,    0.000,   45.993,   87.751,   12.081,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   20.000,   26.130,    0.000,    0.000,   26.130,    2.108,   18.318,    0.000,    0.207,    0.000,    0.500,    0.000,   66.949,  100.000,   33.526,    0.000


6N8L,SASP,   0.400, 10000.000,   20.000,    1.000,   21.850,    0.000,    0.000,   21.850,    1.387,    4.195,    0.000,    0.188,    0.000,    0.500,    0.000,   68.021,  100.000,   42.176,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    2.000,   22.880,    0.000,    0.000,   22.880,    1.350,    4.035,    0.000,    0.191,    0.000,    0.500,    0.000,   68.205,  100.000,   42.302,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    3.000,   22.190,    0.000,    0.000,   22.190,    1.355,    4.118,    0.000,    0.194,    0.000,    0.500,    0.000,   66.904,  100.000,   41.709,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    4.000,   22.120,    0.000,    0.000,   22.120,    1.357,    4.075,    0.000,    0.192,    0.000,    0.500,    0.000,   67.612,  100.000,   42.889,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    5.000,   22.090,    0.000,    0.000,   22.090,    1.352,    4.153,    0.000,    0.192,    0.000,    0.500,    0.000,   67.145,  100.000,   42.368,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    6.000,   21.740,    0.000,    0.000,   21.740,    1.371,    3.906,    0.000,    0.192,    0.000,    0.500,    0.000,   67.588,  100.000,   42.634,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    7.000,   22.330,    0.000,    0.000,   22.330,    1.357,    3.851,    0.000,    0.190,    0.000,    0.500,    0.000,   67.993,  100.000,   42.888,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    8.000,   22.450,    0.000,    0.000,   22.450,    1.365,    4.178,    0.000,    0.187,    0.000,    0.500,    0.000,   67.476,  100.000,   42.039,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,    9.000,   22.070,    0.000,    0.000,   22.070,    1.375,    4.182,    0.000,    0.189,    0.000,    0.500,    0.000,   68.075,  100.000,   42.377,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   10.000,   22.010,    0.000,    0.000,   22.010,    1.368,    4.046,    0.000,    0.195,    0.000,    0.500,    0.000,   67.819,  100.000,   42.477,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   11.000,   22.280,    0.000,    0.000,   22.280,    1.363,    3.964,    0.000,    0.190,    0.000,    0.500,    0.000,   67.536,  100.000,   41.800,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   12.000,   22.330,    0.000,    0.000,   22.330,    1.374,    3.909,    0.000,    0.191,    0.000,    0.500,    0.000,   67.427,  100.000,   42.435,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   13.000,   21.610,    0.000,    0.000,   21.610,    1.391,    3.925,    0.000,    0.195,    0.000,    0.500,    0.000,   68.193,  100.000,   43.301,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   14.000,   21.790,    0.000,    0.000,   21.790,    1.387,    4.293,    0.000,    0.191,    0.000,    0.500,    0.000,   67.893,  100.000,   42.209,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   15.000,   21.900,    0.000,    0.000,   21.900,    1.383,    4.190,    0.000,    0.187,    0.000,    0.500,    0.000,   67.341,  100.000,   41.645,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   16.000,   21.760,    0.000,    0.000,   21.760,    1.379,    4.146,    0.000,    0.191,    0.000,    0.500,    0.000,   67.575,  100.000,   42.192,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   17.000,   21.870,    0.000,    0.000,   21.870,    1.383,    4.061,    0.000,    0.191,    0.000,    0.500,    0.000,   68.155,  100.000,   43.041,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   18.000,   22.750,    0.000,    0.000,   22.750,    1.343,    3.907,    0.000,    0.190,    0.000,    0.500,    0.000,   68.341,  100.000,   42.859,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   19.000,   21.390,    0.000,    0.000,   21.390,    1.373,    4.051,    0.000,    0.193,    0.000,    0.500,    0.000,   67.128,  100.000,   42.012,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   20.000,   22.200,    0.000,    0.000,   22.200,    1.366,    4.069,    0.000,    0.193,    0.000,    0.500,    0.000,   67.538,  100.000,   42.805,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   21.000,   18.120,    0.260,    0.110,   17.750,    1.832,    4.910, 12930.000,    0.290,    0.222,    0.500,    0.000,   58.444,   83.295,   48.324,    0.000
6N8L,SASP,   0.400, 10000.000,   20.000,   22.000,   18.800,    0.180,    0.040,   18.580,    1.833,    5.037, 13150.000,    0.292,    0.232,    0.500,    0.000,   57.036,   82.494,   47.751,    0.000

6N8L,SASP,   0.400, 10000.000,   40.000,    1.000,   21.200,    0.000,    0.000,   21.200,    1.405,    8.261,    0.000,    0.190,    0.000,    0.500,    0.000,   67.517,  100.000,   42.487,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,    2.000,   21.660,    0.000,    0.000,   21.660,    1.377,    8.002,    0.000,    0.197,    0.000,    0.500,    0.000,   67.316,  100.000,   42.876,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,    3.000,   22.520,    0.000,    0.000,   22.520,    1.357,    7.809,    0.000,    0.190,    0.000,    0.500,    0.000,   67.345,  100.000,   42.153,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,    4.000,   22.090,    0.000,    0.000,   22.090,    1.369,    8.228,    0.000,    0.187,    0.000,    0.500,    0.000,   67.875,  100.000,   42.645,    0.000
6N8L,SASP,   0.400, 10000.000,   40.000,    5.000,   22.090,    0.000,    0.000,   22.090,    1.387,    8.000,    0.000,    0.196,    0.000,    0.500,    0.000,   67.216,  100.000,   42.944,    0.000
