topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,35,0.41,1.375,16.75862068965517,59,41,29,38
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,9,0.2,6.125,13.559322033898304,80,20,59,14
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,9,0.33,0.9375,15.720930232558139,67,33,43,30
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,9,0.33,3.75,16.08888888888889,67,33,45,28
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,65,0.35,4.625,17.238095238095237,65,35,42,23
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,65,0.42,0.6875,14.689655172413794,58,42,29,36
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,65,0.28,6.0625,15.914893617021276,72,28,47,18
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,26,0.26,2.5,14.363636363636363,74,26,44,23
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,26,0.33,1.1875,17.57894736842105,67,33,38,29
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,26,0.3,2.3125,14.325581395348838,70,30,43,24
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,34,0.3,2.75,12.8,70,30,40,24
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,34,0.31,0.625,17.72972972972973,69,31,37,27
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,34,0.3,2.875,13.5,70,30,40,24
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,73,0.34,2.8125,14.421052631578947,66,34,38,29
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,73,0.37,0.875,17.647058823529413,63,37,34,33
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,73,0.37,2.0625,14.88888888888889,63,37,36,31
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,45,0.35,5.3125,14.73913043478261,65,35,46,25
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,45,0.36,1.125,17.2972972972973,64,36,37,34
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,45,0.33,4.875,15.478260869565217,67,33,46,25
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,90,0.24,2.9375,12.177777777777777,76,24,45,21
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,90,0.3,1.3125,14.722222222222221,70,30,36,30
