topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,    5.000,    1.730,    0.000,    0.000,    5.683,    3.595,   42.261, 48920.000,    0.188,    0.449,    0.023,    0.000,   32.011,   79.035,    0.638,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,    6.000,    1.660,    0.000,    0.000,    5.504,    3.644,   42.767, 49710.000,    0.192,    0.457,    0.025,    0.000,   31.791,   78.336,    0.672,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,    7.000,    1.740,    0.000,    0.000,    5.863,    3.628,   41.899, 50320.000,    0.193,    0.454,    0.022,    0.000,   32.381,   78.591,    0.587,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,    8.000,    1.800,    0.000,    0.000,    5.994,    3.613,   41.258, 49740.000,    0.192,    0.459,    0.023,    0.000,   31.764,   78.379,    0.610,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,    9.000,    1.570,    0.000,    0.000,    5.260,    3.623,   42.663, 49860.000,    0.194,    0.457,    0.023,    0.000,   32.259,   78.484,    0.623,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,   10.000,    1.530,    0.000,    0.000,    5.136,    3.618,   44.251, 50090.000,    0.193,    0.456,    0.025,    0.000,   31.973,   78.337,    0.673,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    1.000,    1.730,    0.000,    0.000,    5.860,    3.629,   49.919, 49800.000,    0.192,    0.459,    0.026,    0.000,   31.748,   78.553,    0.927,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    2.000,    1.950,    0.000,    0.000,    6.583,    3.622,   52.175, 49850.000,    0.192,    0.449,    0.026,    0.000,   32.609,   78.927,    0.886,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    3.000,    1.950,    0.000,    0.000,    6.417,    3.635,   51.148, 50420.000,    0.195,    0.459,    0.024,    0.000,   32.264,   78.456,    0.774,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    4.000,    1.950,    0.000,    0.000,    6.368,    3.611,   48.463, 49060.000,    0.193,    0.455,    0.029,    0.000,   32.170,   78.769,    0.837,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    5.000,    1.770,    0.000,    0.000,    5.834,    3.620,   50.523, 49720.000,    0.192,    0.452,    0.026,    0.000,   32.187,   78.606,    0.747,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    6.000,    1.520,    0.000,    0.000,    5.063,    3.602,   48.367, 49500.000,    0.192,    0.451,    0.025,    0.000,   32.425,   78.815,    0.677,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    7.000,    1.960,    0.000,    0.000,    6.631,    3.651,   52.334, 50120.000,    0.196,    0.457,    0.030,    0.000,   32.206,   78.351,    1.050,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    8.000,    1.730,    0.000,    0.000,    5.798,    3.592,   50.088, 48750.000,    0.191,    0.453,    0.025,    0.000,   31.950,   78.563,    0.709,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,    9.000,    1.700,    0.000,    0.000,    5.676,    3.614,   49.030, 49430.000,    0.191,    0.450,    0.029,    0.000,   32.268,   78.875,    0.875,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  300.000,   10.000,    1.880,    0.000,    0.000,    6.273,    3.611,   52.337, 49920.000,    0.193,    0.453,    0.026,    0.000,   32.360,   78.404,    0.859,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    1.000,    2.780,    0.000,    0.000,    9.199,    3.599,   59.194, 49350.000,    0.197,    0.453,    0.039,    0.000,   32.662,   78.438,    1.709,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  350.000,    2.000,    2.170,    0.000,    0.000,    7.272,    3.645,   58.375, 51170.000,    0.199,    0.453,    0.035,    0.000,   33.183,   78.643,    1.363,    0.000
